,Gender,Military,Ethnicity
364,Female,N,Non Resident Alien
365,Female,N,White
366,Female,N,White
367,Male,N,White
368,Male,N,Hispanic/Latino
369,Male,N,White
370,Male,N,White
371,Female,N,White
372,Female,N,White
373,Male,N,White
374,Male,N,White
375,Female,N,Hispanic/Latino
376,Female,N,White
377,Male,N,Hispanic/Latino
378,Female,N,White
379,Female,N,White
380,Female,N,White
381,Female,N,White
382,Female,N,Hispanic/Latino
383,Male,N,White
384,Female,N,White
385,Female,N,White
386,Female,N,White
387,Male,N,White
388,Male,N,White
389,Female,N,White
390,Female,N,White
391,Female,N,White
392,Female,N,White
393,Female,N,Hispanic/Latino
394,Male,N,White
395,Female,N,Hispanic/Latino
396,Female,N,White
397,Female,N,White
398,Male,N,Hispanic/Latino
399,Male,N,White
400,Male,N,Asian
401,Female,N,Hispanic/Latino
402,Female,N,White
403,Male,N,Hispanic/Latino
404,Female,N,Black or African American
405,Female,N,Hispanic/Latino
406,Female,N,Native Hawaiian/Pacific Islander
407,Female,N,White
408,Female,N,White
409,Female,N,White
410,Male,N,Black or African American
411,Female,N,White
412,Female,N,American Indian/Alaska Native
413,Female,N,White
414,Female,Y,White
415,Male,N,White
416,Male,N,White
417,Male,Y,White
418,Female,N,White
419,Male,N,White
420,Female,N,White
421,Female,N,Non Resident Alien
422,Female,N,White
423,Female,N,White
424,Female,N,White
425,Female,N,White
426,Female,N,White
427,Female,N,White
428,Female,N,White
429,Female,N,White
430,Female,N,Hispanic/Latino
431,Male,N,White
432,Male,N,Hispanic/Latino
433,Male,N,White
434,Female,N,White
435,Female,N,White
436,Female,N,White
437,Female,N,Hispanic/Latino
438,Male,N,White
439,Female,N,Hispanic/Latino
440,Female,N,Hispanic/Latino
441,Female,N,White
442,Female,N,White
443,Female,N,Black or African American
444,Male,N,Hispanic/Latino
445,Female,N,White
446,Female,N,White
447,Male,N,Hispanic/Latino
448,Female,N,White
449,Female,N,White
450,Male,N,Asian
451,Female,N,White
452,Female,N,Asian
453,Female,N,White
454,Female,N,White
455,Female,N,White
456,Female,N,White
457,Male,Y,White
458,Female,N,White
459,Female,N,Hispanic/Latino
460,Female,N,Black or African American
461,Female,N,White
462,Female,N,Hispanic/Latino
463,Female,N,White
464,Female,N,White
465,Female,N,White
466,Female,N,White
467,Female,N,White
468,Female,N,White
469,Female,N,White
470,Female,N,Hispanic/Latino
471,Female,Y,White
472,Female,N,White
473,Female,N,Non Resident Alien
474,Female,N,Hispanic/Latino
475,Female,N,Asian
476,Female,N,White
477,Female,N,Non Resident Alien
478,Female,N,Hispanic/Latino
479,Female,N,Asian
480,Female,N,Hispanic/Latino
481,Female,N,Black or African American
482,Male,N,White
483,Female,N,White
484,Female,N,White
485,Male,N,White
486,Female,N,White
487,Female,N,White
488,Female,N,White
489,Female,N,White
490,Male,N,White
491,Female,N,White
492,Female,N,White
493,Female,N,Hispanic/Latino
494,Female,N,White
495,Female,N,White
496,Female,N,Asian
497,Male,N,White
498,Female,N,White
499,Female,N,Non Resident Alien
500,Male,N,White
501,Female,N,White
502,Female,N,Black or African American
503,Male,N,White
504,Female,N,White
505,Female,N,White
506,Male,N,White
507,Male,N,White
508,Male,N,Two or More Races
509,Male,N,Hispanic/Latino
510,Female,N,White
511,Female,N,Hispanic/Latino
512,Female,N,Asian
513,Male,N,White
514,Male,Y,Hispanic/Latino
515,Female,N,White
516,Female,N,White
517,Male,Y,White
518,Female,Y,White
519,Female,N,White
520,Male,N,Hispanic/Latino
521,Male,N,Hispanic/Latino
522,Male,N,Hispanic/Latino
523,Female,N,White
524,Female,N,White
525,Female,N,White
526,Female,N,White
527,Male,N,White
528,Male,N,Black or African American
529,Female,N,White
530,Female,N,White
531,Female,N,White
532,Female,N,Hispanic/Latino
533,Female,N,White
534,Female,N,White
535,Female,N,Hispanic/Latino
536,Male,N,Non Resident Alien
537,Male,N,White
538,Female,N,Hispanic/Latino
539,Female,N,Hispanic/Latino
540,Female,N,White
541,Male,N,Black or African American
542,Female,N,Black or African American
543,Female,N,White
544,Female,N,Black or African American
545,Female,N,White
546,Female,N,Hispanic/Latino
547,Female,N,White
548,Female,N,White
549,Male,N,White
550,Female,N,White
551,Female,N,White
552,Female,N,White
553,Female,N,American Indian/Alaska Native
554,Male,N,White
555,Male,N,Hispanic/Latino
556,Female,N,White
557,Female,N,Asian
558,Female,N,Hispanic/Latino
559,Male,Y,White
560,Female,N,Black or African American
561,Female,N,White
562,Male,Y,Black or African American
563,Female,N,Hispanic/Latino
564,Female,N,White
565,Female,N,White
566,Female,N,White
567,Female,N,White
568,Female,N,White
569,Female,N,White
570,Female,N,White
571,Female,N,Hispanic/Latino
572,Female,N,Two or More Races
573,Male,N,White
574,Male,N,Black or African American
575,Male,N,White
576,Male,N,White
577,Male,N,Black or African American
578,Female,N,White
579,Male,N,White
580,Female,N,White
581,Male,N,Hispanic/Latino
582,Female,N,White
583,Female,N,Black or African American
584,Female,N,White
585,Female,N,White
586,Female,N,Non Resident Alien
587,Female,N,Black or African American
588,Male,N,White
589,Female,N,White
590,Female,N,Two or More Races
591,Male,N,Hispanic/Latino
592,Female,N,Two or More Races
593,Female,N,White
594,Female,N,American Indian/Alaska Native
595,Female,N,White
596,Female,N,Two or More Races
597,Female,N,White
598,Female,N,White
599,Female,N,Hispanic/Latino
600,Female,N,White
601,Female,N,White
602,Female,N,White
603,Male,N,White
604,Female,N,White
605,Female,N,White
606,Female,N,White
607,Female,N,White
608,Female,N,White
609,Female,N,Hispanic/Latino
610,Female,N,Hispanic/Latino
611,Female,N,White
612,Female,N,White
613,Female,N,Hispanic/Latino
614,Female,N,Hispanic/Latino
615,Female,N,White
616,Female,N,White
617,Female,N,Black or African American
618,Female,N,Hispanic/Latino
619,Female,N,White
620,Female,N,White
621,Female,Y,Hispanic/Latino
622,Female,N,White
623,Male,N,Two or More Races
624,Female,N,White
625,Female,N,Black or African American
626,Male,N,Black or African American
627,Female,N,White
628,Female,N,White
629,Male,Y,White
630,Female,N,White
631,Female,N,White
632,Male,N,White
633,Female,N,White
634,Female,N,White
635,Female,Y,White
636,Female,Y,White
637,Female,N,Hispanic/Latino
638,Male,N,Two or More Races
639,Female,N,Two or More Races
640,Male,N,Hispanic/Latino
641,Female,N,Non Resident Alien
642,Male,N,White
643,Male,N,Native Hawaiian/Pacific Islander
644,Female,N,White
645,Female,N,White
646,Male,Y,White
647,Female,N,Hispanic/Latino
648,Female,N,White
649,Female,N,Hispanic/Latino
650,Female,N,White
651,Female,N,White
652,Female,N,American Indian/Alaska Native
653,Female,N,White
654,Female,N,White
655,Female,N,White
656,Female,N,White
657,Female,N,White
658,Female,N,Hispanic/Latino
659,Female,N,White
660,Male,N,White
661,Female,N,White
662,Female,N,White
663,Male,N,White
664,Female,N,White
665,Male,N,White
666,Female,N,White
667,Female,N,White
668,Female,N,White
669,Female,N,White
670,Female,N,Native Hawaiian/Pacific Islander
671,Female,N,White
672,Female,N,Non Resident Alien
673,Male,N,White
674,Female,N,Black or African American
675,Male,N,White
676,Female,N,White
677,Male,N,White
678,Male,Y,Not Available
679,Female,N,White
680,Male,N,White
681,Female,N,Black or African American
682,Male,N,White
683,Female,N,White
684,Male,Y,White
685,Female,N,White
686,Male,N,Black or African American
687,Female,N,White
688,Female,N,White
689,Female,N,White
690,Female,N,White
691,Female,N,Hispanic/Latino
692,Female,N,Hispanic/Latino
693,Female,N,White
694,Female,N,White
695,Female,N,White
696,Female,N,White
697,Female,N,Non Resident Alien
698,Female,N,White
699,Female,N,White
700,Female,N,White
701,Male,N,White
702,Female,N,Hispanic/Latino
703,Female,N,Asian
704,Female,N,White
705,Female,N,White
706,Female,N,Hispanic/Latino
707,Female,N,White
708,Female,N,White
709,Female,N,Hispanic/Latino
710,Female,N,Asian
711,Female,N,White
712,Female,N,White
713,Female,N,Hispanic/Latino
714,Female,N,Two or More Races
715,Male,N,White
716,Female,N,White
717,Female,N,Asian
718,Female,N,White
719,Female,N,Black or African American
720,Male,N,White
721,Female,N,White
722,Female,N,Non Resident Alien
723,Female,Y,American Indian/Alaska Native
724,Female,N,White
725,Female,N,White
726,Male,N,White
727,Female,N,White
728,Female,N,Hispanic/Latino
729,Female,N,White
730,Female,N,White
731,Female,N,White
732,Female,N,Hispanic/Latino
733,Female,N,Hispanic/Latino
734,Female,Y,White
735,Female,N,White
736,Female,N,Two or More Races
737,Female,N,Black or African American
738,Male,N,White
739,Female,N,White
740,Female,N,Black or African American
741,Female,N,White
742,Female,N,White
743,Female,N,Hispanic/Latino
744,Female,N,White
745,Female,Y,Hispanic/Latino
746,Male,N,White
747,Male,N,Black or African American
748,Male,N,White
749,Female,N,White
750,Female,N,White
751,Female,N,White
752,Male,N,White
753,Female,N,White
754,Female,Y,White
755,Female,N,White
756,Female,N,Hispanic/Latino
757,Female,Y,American Indian/Alaska Native
758,Female,N,Hispanic/Latino
759,Female,N,White
760,Female,N,White
761,Female,N,White
762,Female,N,Black or African American
763,Female,Y,White
764,Male,Y,Two or More Races
765,Female,N,Hispanic/Latino
766,Female,N,Hispanic/Latino
767,Female,N,White
768,Female,N,White
769,Male,Y,White
770,Female,N,Hispanic/Latino
771,Female,N,Black or African American
772,Male,Y,Black or African American
773,Female,N,White
774,Male,Y,White
775,Female,N,Black or African American
776,Male,Y,White
777,Female,N,White
778,Male,N,White
779,Male,N,White
780,Female,N,White
781,Male,N,White
782,Female,N,White
783,Male,Y,White
784,Male,N,White
785,Male,N,White
786,Female,N,White
787,Male,N,Black or African American
788,Female,N,White
789,Male,N,White
790,Female,N,White
791,Female,N,White
792,Female,N,White
793,Female,N,White
794,Female,N,White
795,Male,N,White
796,Male,N,Hispanic/Latino
797,Female,Y,Not Available
798,Female,N,Two or More Races
799,Female,N,White
800,Male,Y,White
801,Female,Y,White
802,Male,N,Hispanic/Latino
803,Female,N,White
804,Male,Y,White
805,Male,N,Black or African American
806,Female,N,White
807,Female,N,White
808,Female,N,White
809,Female,N,White
810,Female,N,White
811,Female,N,White
812,Female,N,Non Resident Alien
813,Male,N,White
814,Female,N,White
815,Female,Y,White
816,Female,N,Hispanic/Latino
817,Female,N,Black or African American
